,Difficulty,Type,GUID,MusicName,BPM,BeatNum
#,2,2,12,Pastel,144,35
0,0,0,0,0,,
1,0,0,0,0,,
2,0,0,0,0,,
3,0,0,0,0,,
4,0,0,0,0,,
5,0,0,0,0,,
6,0,0,0,0,,
7,0,0,0,0,,
8,0,0,0,0,,
9,0,0,0,0,,
10,0,0,0,0,,
11,0,0,0,0,,
12,0,0,0,0,,
13,0,0,0,0,,
14,0,0,0,0,,
15,1,1,0,0,,
16,0,0,0,0,,
17,0,0,0,0,,
18,0,0,0,0,,
19,0,0,2,2,,
20,0,0,0,0,,
21,0,0,0,0,,
22,0,0,0,0,,
23,1,0,0,0,,
24,0,0,0,0,,
25,0,0,0,0,,
26,0,0,0,0,,
27,0,1,0,0,,
28,0,0,0,0,,
29,0,0,0,0,,
30,0,0,0,0,,
31,0,0,2,2,,
32,0,0,0,0,,
33,0,0,0,0,,
34,0,0,0,0,,
35,1,1,0,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
플레이 UX or UI ,,,,,,
,,,,,,
접근성 부분에 대한 질문은 거의 터치하지 않고 밸런스만 게임 난이도 질문만 남기고 전반적 플레이 경험에서 기억에 남는 것만 ,,,,,,
,,,,,,
,,,,,,
,,,,,,
전환율이나 만족도 질문 ,,,,,,
,,,,,,
다음에도 사용할 의향이 있는지 10점척도,,,,,,
다른 사람에도 추천할 의향이 있는지 10점,,,,,,
9~10의 비율을 추려봤을 때 긍정 or not ,,,,,,
